index,vocab
7013,MIR3194
7014,ZNF93
7015,MED10
7016,PGA4
7017,SYTL4
7018,SNORD79
7019,MOB4
7020,NOS1AP
7021,CFAP61
7022,C1ORF131
7023,C6ORF58
7024,RUSC1
7025,MBD3L3
7026,UAP1L1
7027,PCAT7
7028,C19ORF25
7029,GOT1L1
7030,CIRBP
7031,PIGM
7032,RN7SL1
7033,DNAJA3
7034,LRRC42
7035,ZNF569
7036,GSTA
7037,HIBADH
7038,MEAF6
7039,FAM102A
7040,RPL17P33
7041,FAT3
7042,LRRC10B
7043,SLC25A28
7044,ZNF385B
7045,RNA18SN5
7046,CTSA
7047,SNAR-H
7048,SUMO2P17
7049,GDF6
7050,DSG2-AS1
7051,SNORD13P3
7052,PRDM13
7053,ANGPTL4
7054,COL13A1
7055,ARSE
7056,RFPL1S
7057,INPPL1
7058,CLEC2A
7059,RAD51AP2
7060,KIR3DL2
7061,MED20
7062,DDX39
7063,SEC24B
7064,ADAM12
7065,SLC25A13
7066,MRE11
7067,TM2D1
7068,BCKDHB
7069,PI16
7070,WASIR2
7071,SPEER4B
7072,CERCAM
7073,SLC1A2
7074,TMPRSS5
7075,C9ORF40
7076,OR5D13
7077,DCP1A
7078,ZNF585B
7079,SNORD97
7080,MAGEA9
7081,ZNF579
7082,MOSMO
7083,BOC
7084,FBXO5
7085,ETV6
7086,NCMAP
7087,ATG16L2
7088,SEC24B-AS1
7089,C20ORF141
7090,DISC1FP1
7091,OR6T1
7092,SNORA43
7093,RNU5F-1
7094,MIR134
7095,SPANXB1
7096,TENM3
7097,ATOH1
7098,BTF3P12
7099,TBC1D3E
7100,TMSB4Y
7101,NOVA1
7102,PECAM1
7103,TMCC2
7104,LINC00160
7105,ANXA11
7106,TOMM20L
7107,MBD3L1
7108,NPR2
7109,POR
7110,PLPBP
7111,RNFT2
7112,AQP11
7113,TRIM60
7114,RRN3P2
7115,ZXDC
7116,ABI2
7117,EIF2AK2
7118,ROBO3
7119,CCR8
7120,CFAP100
7121,CBX1
7122,ACYP2
7123,PCDHGA1
7124,GTF2IP14
7125,SYNC
7126,FBXO16
7127,FHL2
7128,SOWAHB
7129,CCDC36
7130,XRCC3
7131,LINC01305
7132,TRIM48
7133,SPINT2
7134,POM121
7135,NCL
7136,C16ORF92
7137,SPRR2G
7138,PCK2
7139,LBX1-AS1
7140,OR7E14P
7141,MIR3936
7142,OR52R1
7143,ADAMTSL1
7144,LINGO1
7145,APOOP5
7146,PSENEN
7147,SDR16C5
7148,MCM3
7149,SCG2
7150,FCRL4
7151,ATMIN
7152,MINDY4
7153,GPR173
7154,SPRNP1
7155,RPS23P8
7156,MIR663B
7157,RDX
7158,GPC3
7159,ZNF295-AS1
7160,LINC00645
7161,OR51A2
7162,NEURL4
7163,SPRY1
7164,RAB35
7165,SPATA12
7166,PRR27
7167,EID2B
7168,WNT10B
7169,MIR6815
7170,GYPB
7171,ZNF22
7172,SELK
7173,PMF1
7174,CTDSPL
7175,PTPLA
7176,ZNF710
7177,BCCIP
7178,CALML3-AS1
7179,RPRML
7180,WIPF2
7181,STOX1
7182,MIER2
7183,RAD23B
7184,MIR135A1
7185,CD84
7186,GPR183
7187,ALOX12-AS1
7188,MTRNR2L9
7189,CSHL1
7190,MSX1
7191,KAAG1
7192,TAF7
7193,BET1L
7194,B4GALT2
7195,CLDN9
7196,SNORA55
7197,LINC01527
7198,ROCR
7199,FGF16
7200,ZNF525
7201,ZNF608
7202,EPB41L4B
7203,C3ORF49
7204,FAM226B
7205,JMJD1C-AS1
7206,SLC22A14
7207,LINC00261
7208,SLC16A8
7209,MOCOS
7210,CCDC102A
7211,SNORA5C
7212,LINC01162
7213,FOS
7214,CFHR1
7215,MIR936
7216,LMO7DN
7217,MYD88
7218,CYC1
7219,CDH18-AS1
7220,DCXR
7221,CSNK1A1P1
7222,TNRC6C-AS1
7223,PRG1
7224,RNA5SP144
7225,NR2C2AP
7226,MIR1264
7227,DUSP27
7228,TRMT5
7229,HGF
7230,PET2
7231,SNTA1
7232,FLT3LG
7233,CMKLR1
7234,MRLC2
7235,BTLA
7236,NTPCR
7237,CEACAM1
7238,DENND1A
7239,RGS21
7240,ZNF568
7241,HOXD11
7242,CSF2RA
7243,EFHD1
7244,TRG-TCC5-1
7245,ATG10-AS1
7246,FBN3
7247,GTF2H2C_2
7248,NWD1
7249,ATAD2B
7250,SCNN1B
7251,TEGT
7252,CC2D2A
7253,BPTF
7254,TMED7
7255,NEGR1-IT1
7256,KBTBD12
7257,RPL11
7258,SSUH2
7259,ELP3
7260,TNFSF4
7261,JUP
7262,PHACTR4
7263,PTTG1
7264,UBE2B
7265,CCDC17
7266,SMIM2
7267,ZNF800
7268,NUPR2
7269,RS1
7270,LINC01777
7271,FTLP3
7272,SERPINA11
7273,C6ORF141
7274,DMRT3
7275,SHISA7
7276,MIR718
7277,DIPK1B
7278,FBXO43
7279,GNB4
7280,HEY1
7281,TTTY8B
7282,AP3S1
7283,SEPW1
7284,PCDHB6
7285,NFKBIZ
7286,METTL7B
7287,RPL26P16
7288,METTL8P1
7289,TAAR9
7290,TMEM97
7291,SYT3
7292,PHF7
7293,DAT
7294,KLHL20
7295,TMEM209
7296,TKTL2
7297,AREG
7298,CDC2
7299,OST4
7300,NELFA
7301,FAM86C2P
7302,SETP20
7303,FAM170A
7304,CD55
7305,RPS8
7306,FICD
7307,IRF2BP1
7308,AKR1C8P
7309,KLHL13
7310,LMF2
7311,GNAT2
7312,C3ORF80
7313,C7ORF69
7314,SLC7A8
7315,GPR160
7316,FAM86A
7317,MYH4
7318,GOT1
7319,SBSN
7320,EGOT
7321,SNHG10
7322,RPS11
7323,RBM25
7324,NAA80
7325,LGALS7
7326,SULT1A1
7327,PRSS48
7328,SGO1
7329,TIMM29
7330,RPL38
7331,RNF34
7332,ZNF548
7333,CCDC167
7334,TAFA3
7335,TEX36
7336,DEFB1
7337,RNU6-893P
7338,HIST1H3G
7339,UXT
7340,RPP14
7341,ZDHHC19
7342,LINC01116
7343,UGT2B10
7344,TM6SF2
7345,SLC27A5
7346,PFN1P2
7347,TMEM220-AS1
7348,OR2B2
7349,SHISA6
7350,PHACTR2
7351,HNRNPU
7352,MEX3A
7353,CENPO
7354,BIN3-IT1
7355,LMTK2
7356,TNXB
7357,FAM50B
7358,CIRBP-AS1
7359,PIP5K1A
7360,BTG3
7361,GPR21
7362,RHBDF2
7363,ZNF688
7364,TAF1B
7365,SOX2
7366,SPDYE1
7367,EIF2A
7368,PGAP2
7369,CACNG3
7370,CTCFL
7371,FAM182A
7372,LIN52
7373,RASL11A
7374,EIF4EBP3
7375,NLRX1
7376,CCDC184
7377,CUL9
7378,OR1D5
7379,ZNF503
7380,LINC00476
7381,LINC00896
7382,FCAMR
7383,REPS2
7384,NR5A2
7385,HOXD8
7386,HSD3B7
7387,SWSAP1
7388,CXORF51A
7389,CDK5R1
7390,LINC00608
7391,APEH
7392,PAK1IP1
7393,ZNF563
7394,GGA2
7395,CDCP2
7396,MMP20
7397,MORC1
7398,TTC19
7399,JPX
7400,UNC79
7401,TFAP2A-AS1
7402,DTX3
7403,TSR1
7404,ZBTB26
7405,PXYLP1
7406,LINC02104
7407,SRD5A2
7408,MCRIP2
7409,RNVU1-7
7410,RPL28
7411,MC5R
7412,COG2
7413,NSD1
7414,LLPH
7415,PREX2
7416,KCNA7
7417,RASL10A
7418,GABRR1
7419,SLC25A21-AS1
7420,HAL
7421,ZNF578
7422,FAM180A
7423,RPL7P22
7424,POGLUT2
7425,TLR4
7426,LARS2
7427,AS3MT
7428,NIPBL-DT
7429,HYPM
7430,MAGEA2
7431,SPHK1
7432,DCAF10
7433,CTAGE1
7434,DEFB115
7435,RTEL1-TNFRSF6B
7436,GPBAR1
7437,YOD1
7438,SYT11
7439,FGF19
7440,MTMR4
7441,SPDYE5
7442,CRTAM
7443,DNAJC19
7444,MIR6720
7445,MRPL20
7446,FAM86B1
7447,CCT8P1
7448,ST6GAL1
7449,ACTR1B
7450,SRBD1
7451,HMGB3P22
7452,DDX52
7453,DST
7454,TMPRSS6
7455,RBAK
7456,STPG3
7457,CDC23
7458,NDUFS2
7459,PRR12
7460,SLC4A3
7461,ADD1
7462,CLEC18B
7463,NOVA2
7464,HMHA1
7465,SLCO4A1
7466,CCDC175
7467,UTP14C
7468,SPTLC3
7469,AMY1B
7470,TXNRD3
7471,NUP188
7472,MYO5C
7473,EQTN
7474,NANOS2
7475,DNAJA4
7476,NCOR1P1
7477,APOC2
7478,SEC6
7479,LINC00592
7480,MIR4659A
7481,HNRNPUL2
7482,KLHL5
7483,FBLN5
7484,METTL18
7485,WHRN
7486,ZNF207
7487,FANCL
7488,GDF11
7489,RFXANK
7490,RPL13AP17
7491,EIF4EBP1
7492,TRIM28
7493,THEG5
7494,AOC1
7495,LINC02086
7496,PRR29
7497,ZNF323
7498,IL6R
7499,LINC01056
7500,MTFP1
7501,C15ORF62
7502,CDKN2A-DT
7503,MIR1539
7504,ADAP1
7505,FAM90A7P
7506,SNHG5
7507,CYTIP
7508,PCMTD2
7509,HNRNPUL2-BSCL2
7510,ECSIT
7511,EGR4
7512,KCNAB2
7513,RPL27A
7514,TFAP4
7515,C5ORF51
7516,CYP1B1-AS1
7517,PSIP1
7518,ANXA10
7519,EB1
7520,MIR190A
7521,PART1
7522,RPL5P29
7523,TMC2
7524,KRTAP4-3
7525,AKR1B3
7526,S6K
7527,CCRL2
7528,RBM13
7529,MRO
7530,SNORD108
7531,CFLAR
7532,SPEM2
7533,LINC01387
7534,CDC42EP3
7535,BCL9L
7536,AHI1
7537,BEST4
7538,EIF3B
7539,CCDC134
7540,SMCHD1
7541,RWDD1
7542,MET
7543,CEP126
7544,HMGN2P46
7545,RPS12P26
7546,TMUB1
7547,FAM192A
7548,CCDC27
7549,HMGN1
7550,KRTCAP2
7551,PIK3C2G
7552,METTL15
7553,HEPN1
7554,USP38
7555,DNAAF3
7556,ZNF271
7557,CAPN11
7558,FMNL1
7559,CNOT10
7560,SCN8A
7561,LAPTM4A
7562,TYK2
7563,TRE-TTC9-1
7564,LINC01915
7565,OR1E3
7566,PSMD12
7567,DHFR
7568,SLC25A6
7569,PPP2R5A
7570,RPL21P98
7571,BFSP2
7572,SLC16A1-AS1
7573,PHF17
7574,DACH2
7575,IFI44L
7576,LRRC36
7577,CFD
7578,KIZ
7579,TUBB2B
7580,IQCJ-SCHIP1
7581,R3HCC1
7582,CPN2
7583,WDR87
7584,MTCL1
7585,SMC6
7586,KRTAP4-11
7587,FAM65B
7588,PHF20L1
7589,CCDC66
7590,JAKMIP2
7591,PIK3R2
7592,SAMM50
7593,NRXN3
7594,FOXB1
7595,C9ORF24
7596,KRTAP2-3
7597,IGHV5-78
7598,PCDHGB3
7599,RNF44
7600,KLHL8
7601,KRT77
7602,SNORA73B
7603,ARNTL
7604,NOL12
7605,TSSC4
7606,PSD4
7607,RTRAF
7608,RAF1
7609,MKNK2
7610,HHIP
7611,BBS9
7612,NDUFB6
7613,TMEM63C
7614,MKKS
7615,FAM172BP
7616,CYP4V2
7617,MIR4488
7618,KIAA0895
7619,HOX1
7620,PRKDC
7621,LAYN
7622,LINC00977
7623,SOWAHA
7624,MED6
7625,TTTY20
7626,MEIG1
7627,LINC02006
7628,WHAMMP3
7629,ARHGAP17
7630,ST8SIA6
7631,TFDP3
7632,ZC3H13
7633,MIR548F3
7634,VNN2
7635,FER1L6-AS1
7636,NFIX
7637,RAMAC
7638,LINC02206
7639,SOX7
7640,COL8A1
7641,ZNF841
7642,ZNF85
7643,WT1-AS
7644,RNA5SP39
7645,KCNJ11
7646,PMFBP1
7647,SCAMP4
7648,GRHL1
7649,HNRNPA1P59
7650,OR4C45
7651,CCDC181
7652,MIRLET7I
7653,RSBN1
7654,TARID
7655,MIR3196
7656,AGAP4
7657,SLC6A18
7658,ITLN1
7659,MOV10L1
7660,RMDN2
7661,ZBED3-AS1
7662,SYT8
7663,POM121L8P
7664,LINC01426
7665,ZNF816
7666,MIR595
7667,PSMB8
7668,HSD17B1P1
7669,LNX1
7670,TSC22
7671,CTTNBP2
7672,RNU5A-1
7673,TYMP
7674,MAPK6
7675,G6PD
7676,SNX18P7
7677,DYRK4
7678,ASTN1
7679,HSPA9
7680,CCDC74B
7681,MIR518C
7682,TNIK
7683,PDLIM5
7684,SNORD88A
7685,RNU7-47P
7686,WAC-AS1
7687,NRBP1
7688,USP28
7689,PTENP1-AS
7690,ZNF467
7691,FAM57B
7692,HOOK1
7693,RAB39B
7694,PAMR1
7695,ATG16L1
7696,SNORA34
7697,LCMT1
7698,RBBP4
7699,EID3
7700,LINC00534
7701,SEMA6B
7702,LINC01599
7703,CASP5
7704,UBE3B
7705,OR2M7
7706,ANKRD10-IT1
7707,PHF5A
7708,AK4P3
7709,FAAP24
7710,HSPA5
7711,ADAM23
7712,SRP19
7713,DNTT
7714,MIR409
7715,KLHL17
7716,LAMA1
7717,SCARNA16
7718,TGIF2LY
7719,RBM6
7720,NALT1
7721,DHFR2
7722,SRL
7723,HIST1H2AL
7724,SLC26A11
7725,BTBD1
7726,ELMOD1
7727,PYY2
7728,BSPRY
7729,USO1
7730,SMYD2
7731,HEXIM1
7732,CHRNA10
7733,ADCY5
7734,CYLD
7735,RPS2P28
7736,KRT35
7737,UBE2Q2
7738,RPUSD1
7739,HAPLN4
7740,ANXA8
7741,UQCRBP1
7742,BPI
7743,CLLU1OS
7744,ZNF222
7745,ACBD6
7746,GLIPR1L2
7747,IGF1
7748,MST1R
7749,WDR45B
7750,BROX
7751,TRBV21-1
7752,THBS1
7753,TOPAZ1
7754,INTS4P1
7755,RPL7L1
7756,ADPRM
7757,ESRRG
7758,REP15
7759,RBPMS2
7760,KIF9-AS1
7761,CDH19
7762,LEMD2
7763,HSCB
7764,ZNF595
7765,GAS2L2
7766,SYCE1
7767,OR1S2
7768,MAPK11
7769,URI1
7770,NPIPA1
7771,CCR1
7772,FRG2
7773,NGFRAP1
7774,GXYLT1
7775,NOP56
7776,VWA7
7777,ATP5C1
7778,C9ORF163
7779,PTPRS
7780,HIST1H2AM
7781,NIPSNAP1
7782,BARHL1
7783,KRTAP4-1
7784,HIP1R
7785,SNORD115-26
7786,NPIPB7
7787,RAB43
7788,DLGAP1-AS3
7789,NFE2L3
7790,BMP5
7791,COL8A2
7792,RPL27P2
7793,THEMIS2
7794,RAS
7795,GLIPR1
7796,ADI1
7797,LINC00488
7798,KLK13
7799,OTUD1
7800,FEZF1
7801,PRDX2
7802,COQ2
7803,GRAP
7804,PRAMEF13
7805,AAA1
7806,TMEM9
7807,LRRIQ4
7808,DOCK8
7809,LMO4
7810,GABPA
7811,MIR642B
7812,LINC01252
7813,OR2J3
7814,OR9G1
7815,UROS
7816,MIR6838
7817,TTI1
7818,RPL32
7819,FNIP1
7820,MDH1
7821,ZIM2
7822,LARP4B
7823,OR6N1
7824,MIRLET7E
7825,LINC01787
7826,SLC25A20
7827,PKNOX1
7828,CRYAB
7829,MSGN1
7830,MIR199A2
7831,FAM220CP
7832,HEN1
7833,MIR876
7834,IFNA13
7835,ATP1B3
7836,KRT18
7837,CASD1
7838,CYP2F2
7839,MARCKS
7840,LPCAT3
7841,SF3B1
7842,NNT-AS1
7843,FIGF
7844,MRPL19
7845,ZBTB7B
7846,CAST
7847,SYNPO
7848,CALM2P3
7849,LINC00543
7850,YARS2
7851,SNORD24
7852,WDR76
7853,PMS2P9
7854,IPO7
7855,ZNF570
7856,HIST2H2BE
7857,MYH10
7858,RNF217
7859,ZFP2
7860,TTC38
7861,NECAB1
7862,C3ORF36
7863,TFAMP1
7864,CCAR2
7865,CHUK
7866,LMBRD2
7867,ZNF654
7868,ZIC3
7869,GATA6
7870,IL27
7871,SEC16B
7872,CRYBA2
7873,ATP6V1D
7874,MOCS3
7875,ARHGAP4
7876,SNORD114-6
7877,PTK2
7878,TMEM92
7879,CCDC191
7880,ARPC5
7881,ZMYM5
7882,SOCS1A
7883,LINC00992
7884,UBD
7885,SNX17
7886,BMP8A
7887,LINC00856
7888,CICP3
7889,SEMA6A
7890,MIER1
7891,PCARE
7892,B3GALT1
7893,IGFBP2
7894,JMJD7-PLA2G4B
7895,FPGT
7896,RPS21
7897,MIR1227
7898,C17ORF75
7899,CXORF58
7900,TRI-TAT2-2
7901,LINC00319
7902,KLRB1
7903,DOK1
7904,PON2
7905,CYP4F9P
7906,MSL2
7907,SPATA24
7908,ENKUR
7909,OXSM
7910,TMEM176B
7911,ALPK2
7912,BPIFB6
7913,PPAN
7914,SNORA92
7915,SPANXA2-OT1
7916,CLRN3
7917,MSTO1
7918,PKD2L1
7919,C8A
7920,ARG2
7921,HIST2H2AC
7922,RSU1
7923,ACOT11
7924,LINC00272
7925,RPL23AP7
7926,SNORD115-7
7927,LINC00112
7928,KIFC1
7929,ZNF728
7930,REEP6
7931,DSCC1
7932,CDC7
7933,CAMK2N2
7934,KCNS2
7935,SPCS3
7936,SLC38A6
7937,KRT8P47
7938,SAMD4
7939,CTXN3
7940,CEMIP2
7941,CNTNAP1
7942,RNA5SP439
7943,TYRP1
7944,AFF1
7945,OPTC
7946,LMAN1
7947,DNTTIP2
7948,CCNQP1
7949,KIT
7950,ACOX1
7951,ARPC3
7952,PRELID1
7953,SMC5
7954,ABCA4
7955,TTC31
7956,ILF3
7957,RCC1
7958,MIR3622A
7959,POLR2J3
7960,PCID2
7961,EXO1
7962,RPSAP28
7963,KLK9
7964,PPP2R1B
7965,HOXC5
7966,INO80B
7967,RPSAP15
7968,KIF3A
7969,EXOSC7
7970,FOXO1
7971,TCOF1
7972,WDR72
7973,RPS3A
7974,PHF19
7975,HS2ST1
7976,ADH1B
7977,MFF
7978,TFPI
7979,FNTB
7980,VIPR1-AS1
7981,RPL39P5
7982,SPATA7
7983,DLGAP5
7984,PARP4P2
7985,TMEM212-IT1
7986,UBE2I
7987,NDUFC1
7988,TCL6
7989,NTRK3
7990,PQLC1
7991,IL1F10
7992,ZNF384
7993,TIP60
7994,FAM98B
7995,ENTPD3-AS1
7996,ACHE
7997,PCDH20
7998,ZGPAT
7999,BMP2
8000,CBX4
8001,LRRC55
8002,JAG1
8003,CCR2
8004,C5AR2
8005,GRPEL2-AS1
8006,SCUBE3
8007,STIMATE-MUSTN1
8008,COL5A3
8009,SAG
8010,MIR129
8011,PARD3B
8012,RNF220
8013,OR7A10
8014,DNAJC11
8015,CHTF18
8016,AAMDC
8017,EGLN2
8018,HAVCR2
8019,FKBP6
8020,SIX5
8021,RPUSD4
8022,ZNF667
8023,MLX
8024,PRDM9
8025,SMPDL3A
8026,CBX3P9
8027,ATG101
8028,PROB1
8029,SFPQ
8030,ELAVL1
8031,CYP2C18
8032,NBPF11
8033,LTB4R2
8034,MIR3976HG
8035,MIR525
8036,MIR578
8037,COL6A4P2
8038,TTC12
8039,CD37
8040,ADAM21
8041,RPF2
8042,BZW1P1
8043,OVCH1
8044,SHROOM2
8045,GBA
8046,RIC8A
8047,MOB3B
8048,SNORD20
8049,LINC00882
8050,FABP5P3
8051,ALAS1
8052,TMEM267
8053,RETSAT
8054,GPR65
8055,IGSF9B
8056,RHCE
8057,PSPHP1
8058,MAPK8IP3
8059,PEPD
8060,IL13RA2
8061,GPR87
8062,CNOT8
8063,TAS2R10
8064,NEURL1B
8065,NDP
8066,BAIAP2
8067,TTBK1
8068,MARCH7
8069,FASTKD5
8070,IFFO2
8071,OLFML2A
8072,MIR371B
8073,SNORD87
8074,UNKL
8075,GREB1L
8076,SMCO4
8077,TMEM247
8078,CYP2C55
8079,BXDC5
8080,LAMP3
8081,MIR23C
8082,NDNL2
8083,PCDH18
8084,TREML1
8085,TMEM269
8086,PSME1
8087,ITPRID2
8088,RNU7-134P
8089,NAT2
8090,LGALS9B
8091,ANAPC15
8092,MEPCE
8093,MIR1229
8094,XPC
8095,RACGAP1
8096,KCTD6
8097,MIR604
8098,HNRNPC
8099,PIH1D2
8100,UBE2E2
8101,NMES1
8102,ABHD13
8103,WDR49
8104,ACTR3-AS1
8105,PDE6C
8106,RPS8P8
8107,MIR590
8108,DRD3
8109,NR1D2
8110,PTPRQ
8111,TTK
8112,WDR12
8113,HIPK3
8114,SLC7A13
8115,MAPKAPK3
8116,FGF5
8117,SLC30A7
8118,ZNF706
8119,RNU6-388P
8120,IFNA4
8121,CANT1
8122,P2RY1
8123,OR8H2
8124,TMA7
8125,ZNF385D
8126,TOPORS
8127,MIR1233-1
8128,LINP1
8129,RNU5B-2P
8130,KLHL29
8131,ANKRD29
8132,TRPV5
8133,GPR142
8134,MYH6
8135,LINC00317
8136,TRIM5
8137,MRPL17
8138,NUF2
8139,CRNN
8140,ERBIN
8141,PABPC1
8142,RPS2P17
8143,CNTN1
8144,CLDND1A
8145,DAB1
8146,OR11H7
8147,FKBPL
8148,CXCL13
8149,TMEM102
8150,ZNF787
8151,RBM7
8152,PPM1M
8153,TMEM182
8154,JOSD2
8155,ERMN
8156,KLRK1
8157,SPANXA1
8158,RHOXF2B
8159,TRUB2
8160,CSRNP1
8161,SCAND3
8162,LASS6
8163,DUSP12
8164,ELAVL2
8165,TPRN
8166,SLC24A3
8167,RAPGEF3
8168,TOP3A
8169,TMEM74B
8170,JPT2
8171,PRR19
8172,GGT7
8173,UNC13C
8174,ASRGL1
8175,FAM183B
8176,CTXN2
8177,ZNF597
8178,CPOX
8179,VPS33B
8180,CSN1S1
8181,THRB-IT1
8182,PSAT1
8183,NSRP1
8184,HSD3BP5
8185,DNAJB11
8186,ATP10A
8187,GATM
8188,SPTBN2
8189,SDK1
8190,YPEL3
8191,FBXO32
8192,MRPL10
8193,MIR6500
8194,MIR618
8195,HOTAIR
8196,SHROOM4
8197,SRP14
8198,PRKAG1
8199,ID2
8200,HNMT
8201,SH3RF3
8202,TTC3P1
8203,IGSF21
8204,BEND2
8205,PLP2
8206,TRBJ2-3
8207,CKAP2
8208,PTPRA
8209,ACSM4
8210,NFIA
8211,LRRC14B
8212,BST2
8213,TMEM254-AS1
8214,KRT9
8215,MIR651
8216,SERGEF
8217,HSFY1
8218,LINC00353
8219,EHD2
8220,FUT1
8221,CRIP2
8222,LINC00303
8223,ZNF389
8224,ZNF732
8225,SLC22A15
8226,APOL6
8227,MAP3K6
8228,WBP2NL
8229,RUSC2
8230,PDE9A
8231,FERMT1
8232,RAB29
8233,PPP4R1
8234,TTC26
8235,TSPO2
8236,ACKR3
8237,WNT9B
8238,RSRP1
8239,BPIFB4
8240,HSP90B2P
8241,CYP2A6
8242,ABHD18
8243,KIF17
8244,C2ORF80
8245,SLC17A9
8246,ZNF528
8247,SLC6A5
8248,WT1
8249,TRANK1
8250,PKP1
8251,DOCK1
8252,DCLRE1B
8253,UBE2H
8254,TIMM17B
8255,DNASE1L3
8256,ZNF287
8257,IGKV3D-15
8258,KLHDC7A
8259,EVX2
8260,SHLD2P3
8261,IL1A
8262,HSPB6
8263,DDI2
8264,ADGRE1
8265,PLEK
8266,PINK1-AS
8267,LRRC72
8268,DSC1
8269,CDH10
8270,PNPLA6
8271,CCDC71
8272,NSUN6
8273,CYP1A2
8274,C1QTNF7
8275,PEG3
8276,NKAIN4
8277,UQCRQ
8278,ATF2
8279,NOL7
8280,NKX2-3
8281,GSPT2
8282,PSMB9
8283,MIR564
8284,CTGF
8285,CAPSL
8286,FOXM1
8287,CREB5
8288,TMEM62
8289,RPL29P11
8290,OR14A16
8291,RIMS2
8292,VAMP5
8293,N6AMT1
8294,CDIPT
8295,PYURF
8296,UPRT
8297,CFAP47
8298,MIR644A
8299,RLN2
8300,VSTM2L
8301,SLC35F1
8302,LINC01600
8303,RPL4P5
8304,MIR662
8305,NXNL1
8306,MIR367
8307,RNPEPL1
8308,LPXN
8309,TEPP
8310,P2RY5
8311,PMEL
8312,ARMH4
8313,CCDC14
8314,RPL26P11
8315,RPL23AP87
8316,IFT46
8317,DYDC1
8318,DNAH9
8319,C5ORF24
8320,LINC01107
8321,BCS1L
8322,COMMD8
8323,EPHB6
8324,MIR151
8325,RPS24
8326,RPL15P11
8327,DGCR8
8328,STK10
8329,KRTAP20-4
8330,MIR3663
8331,PEX19
8332,CDA
8333,FMO5
8334,PCDH11X
8335,NKX3-1
8336,HIVEP2
8337,MOXD2P
8338,GPX6
8339,CYTL1
8340,PROSER1
8341,LINC00299
8342,CITED1
8343,OLFR586
8344,FOXO1A
8345,MIR3646
8346,OTOL1
8347,OARD1
8348,ANKRD49
8349,TRPM6
8350,ST8SIA5
8351,TCRB-J
8352,RPL23AP44
8353,PSKH2
8354,RNA5S9
8355,AIR
8356,SNORA25
8357,QDPR
8358,STARD6
8359,PRDM15
8360,LIMS2
8361,SNORD11B
8362,DIS3L2
8363,UTP14A
8364,NME4
8365,RASL11B
8366,ELMSAN1
8367,MAP3K10
8368,NSD3
8369,LINC02182
8370,EFHD2
8371,CHGA
8372,HACL1
8373,TMEM44-AS1
8374,NEK9
8375,NPHP3-ACAD11
8376,P2RX7
8377,PRR25
8378,UGT2A3
8379,RN7SL2
8380,SMAGP
8381,MIR657
8382,NPRL2
8383,DSCAML1
8384,GSTM5
8385,MLH1
8386,GPA33
8387,C19ORF48
8388,AGTR1A
8389,DYNC1I2
8390,LRRC37A5P
8391,MIR19B2
8392,MAP7D3
8393,GP9
8394,JUNB
8395,C12ORF45
8396,SERHL2
8397,FABP5L2
8398,OR51M1
8399,TPT1-AS1
8400,FDXR
8401,WAPAL
8402,RPL17P50
8403,RAB42P1
8404,SNORD16
8405,MIR548AO
8406,SVS6
8407,ANO6
8408,TAS2R50
8409,SLC38A7
8410,CFAP74
8411,MT1DP
8412,AMOTL2
8413,GALNT7
8414,OR2Z1
8415,MIR4649
8416,RDM1
8417,POC1B
8418,RAB1A
8419,SULF2
8420,ZNF29P
8421,NFKBIE
8422,POLD4
8423,COL4A5
8424,MRPL23
8425,USP19
8426,STAG3
8427,CHRNA9
8428,RPL21P131
8429,CCDC190
8430,LARP
8431,LRFN2
8432,LINC01883
8433,ADAMTS9
8434,DDX10
8435,WNT10A
8436,FAM241A
8437,RIG
8438,LAT
8439,MIR221
8440,TRPC4
8441,DNM1L
8442,MTUS1
8443,DMAC1
8444,DAOA-AS1
8445,LRRC8E
8446,SDCBP2
8447,SNORD114-3
8448,RGL4
8449,KDM2A
8450,NXPE1
8451,DDC
8452,CHCHD2P6
8453,GUCD1
8454,ABRAXAS1
8455,MIR505
8456,AOC2
8457,PSEN1
8458,CNOT9
8459,HFE
8460,UBQLNL
8461,C17ORF58
8462,SCGB3A1
8463,PPIL2
8464,MRPL36
8465,BCL7C
8466,LINC00840
8467,AKAP8
8468,WEE2
8469,FAM71E2
8470,LINC02265
8471,ORC3
8472,NTMT1
8473,TNMD
8474,MAP2
8475,CBFB
8476,EN2
8477,RALB
8478,OR4C13
8479,HLA-DOB
8480,LINC01550
8481,ERCC4
8482,ELK3
8483,LRRFIP1P1
8484,CT55
8485,R3HDM1
8486,FEM1A
8487,GPR85
8488,LINC00322
8489,VAV3
8490,RBMX2
8491,ORC6
8492,NEPRO
8493,HCG11
8494,TTC3
8495,MT1IP
8496,LRRC16A
8497,GLDC
8498,RNASEH2B
8499,KCNQ1-AS1
8500,BARX1-DT
8501,LINC00993
8502,OPRPN
8503,PIP5KL1
8504,ZC3H7B
8505,SH2D7
8506,EIF1AX
8507,MRPS10
8508,CXCL14
8509,CYP2E1
8510,SCAF8
8511,RNU1-13P
8512,CCNK
8513,NF1
8514,RNU5E-4P
8515,SCLY
8516,MIR7977
8517,SNORD36A
8518,MRT4
8519,RNF212
8520,DNMT1
8521,EBAG9
8522,SYT5
8523,SNORD55
8524,KIS
8525,TMEM89
8526,DDX21
8527,RPL18AP6
8528,SIVA1
8529,MMP24OS
8530,PLXND1
8531,SNRNP48
