index,vocab
393,UGT2B17
394,RRP9
395,TMEM33
396,GALNT15
397,ATP5G2
398,SH2D4B
399,RFWD3
400,FAM133DP
401,IGLL3P
402,LINC01559
403,REXO5
404,SIT1
405,HLA-DRB3
406,RPL30
407,CCDC85C
408,SNRPD2P2
409,JPH3
410,LAX1
411,MIR196A2
412,ZNF77
413,SGSM3
414,PUF60
415,FTH1
416,MUC
417,ETNK1
418,GCC2
419,HEATR6
420,CREBZF
421,MIR320B1
422,DDX60
423,LSMD1
424,AUTS2
425,RNPS1
426,KDM8
427,DSCAS
428,MIR6852
429,LMO7
430,KRTAP5-7
431,ZNF513
432,CDRT4
433,SNORA29
434,DCDC2B
435,PCDHGB4
436,SMARCD3
437,C1QTNF2
438,TCAF1
439,RPS8P10
440,VIP
441,SUCLA2
442,SDC3
443,AGPAT5
444,MYO1B
445,CEACAM6
446,UNC119
447,NOP14-AS1
448,NRG1-IT1
449,MIR6799
450,ADCK3
451,HSD17B7
452,LAIR2
453,ABLIM2
454,MIR6076
455,BRD3
456,NEIL1
457,TOB2P1
458,TEAD4
459,LINC00681
460,TTTY1B
461,WFDC13
462,EVC2
463,SLC8A1-AS1
464,GIMAP8
465,CLCA3P
466,KRT13
467,SNRPGP10
468,SLC9A3R1
469,CDH11
470,THAP7-AS1
471,NDUFV3
472,GADD45GIP1
473,ATP1A4
474,ACTG2
475,PTCSC3
476,RPL23AP74
477,PLS3
478,KMO
479,SHBG
480,MS4A8
481,ZNF703
482,RUNDC3B
483,MTHFD2
484,TSFM
485,LRIG2
486,EPB41L5
487,LINC02487
488,RAD18
489,CTSV
490,NEDD9
491,MIR3667
492,CTTNBP2NL
493,KRT24
494,ADGRG1
495,ZNF646
496,CLIC6
497,EXT2
498,BAZ1B
499,NOXA1
500,NT5DC1
501,SLC25A38
502,SEMA3G
503,C9ORF78
504,PAGE2B
505,LINC01474
506,SUGT1P3
507,STXBP5L
508,PRPF39
509,SNORD37
510,SLC36A2
511,ADH1C
512,LYZL4
513,INSIG2
514,OTULINL
515,ARL8B
516,NAP1L3
517,ZNF534
518,MIR382
519,LTC4S
520,VOPP1
521,NRBF2
522,CCDC92
523,PARP16
524,AGPAT9
525,MRFAP1
526,EDA
527,PANK3
528,MIR378I
529,ACOT12
530,RPS2P11
531,FAM161A
532,SPX
533,ZNFX1
534,POTEA
535,PPM1G
536,TCEAL8
537,EXOSC2
538,RBMY1B
539,MRPL23-AS1
540,ATP23
541,SELENOI
542,RIPK2
543,SVIL-AS1
544,TREML2
545,MIR27A
546,MIR92A1
547,ITGA3
548,TDP1
549,LRRC4C
550,SHISAL2B
551,ZNF213
552,SDC1
553,ADGRE4P
554,CEBPA-DT
555,FAM86C1
556,KRTAP19-2
557,LINC00944
558,FAM53B
559,TXNDC15
560,SNORA67
561,NFXL1
562,CDRT15
563,WBSCR17
564,ZNF350
565,ZBTB8B
566,ACSS3
567,MAMSTR
568,NECAB3
569,HERC6
570,MICA
571,LRRC34P2
572,DCUN1D5
573,C14ORF93
574,FAM134B
575,DNM2
576,CFAP54
577,MT1CP
578,SUMF1
579,MAST4
580,WWC1
581,ZNF599
